id,group,theta,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10
354,HighVVIQ,0.11663728358270642,3,4,5,4,5,5,3,4,4,2
355,LowVVIQ,-0.893207570054953,1,2,3,4,2,1,2,1,1,1
356,HighVVIQ,0.3339029424992251,4,5,5,4,5,5,5,3,5,2
357,HighVVIQ,0.4114299206157307,2,4,3,2,4,3,5,2,5,3
358,LowVVIQ,-0.033036159275991746,1,3,4,3,4,4,1,3,1,1
359,LowVVIQ,-2.4658981937600273,1,1,1,1,1,1,1,1,1,1
360,HighVVIQ,2.5714581458666377,5,5,5,5,5,5,5,4,5,5
361,LowVVIQ,-0.2052992574681995,1,4,3,5,3,5,2,2,1,1
362,HighVVIQ,0.6511932815876703,4,5,5,5,5,3,5,2,1,5
363,HighVVIQ,0.273766491036548,4,5,5,5,5,5,4,3,4,4
364,HighVVIQ,1.0246732348183503,5,5,5,5,5,5,5,3,5,5
365,HighVVIQ,0.8176594463740879,5,5,5,4,5,5,5,3,4,3
366,LowVVIQ,-0.20979317122850863,5,2,5,3,4,2,5,1,4,3
367,HighVVIQ,0.378167772208507,3,5,4,5,3,5,5,3,5,1
368,LowVVIQ,-0.9454088311238928,1,1,2,3,2,3,1,1,2,1
369,HighVVIQ,0.8569230108993184,5,5,5,5,5,5,3,1,5,1
370,LowVVIQ,-0.461038338884354,4,2,4,2,3,1,4,1,2,1
371,HighVVIQ,2.416773353788211,5,5,5,5,5,5,5,4,5,5
372,LowVVIQ,-1.6510488956881872,1,1,1,1,1,1,1,1,1,1
373,LowVVIQ,-0.4639872429660149,3,2,5,1,3,1,5,1,1,2
374,HighVVIQ,0.8253798627592425,4,5,5,5,5,5,5,1,5,3
375,HighVVIQ,0.5101325468786635,5,5,5,5,5,5,4,3,4,2
376,LowVVIQ,-0.5894810385150003,3,1,3,3,1,1,3,2,1,2
377,LowVVIQ,-0.9967807422075223,1,2,2,1,2,2,1,1,2,2
378,HighVVIQ,0.14447570471069665,4,4,4,4,5,1,2,4,4,3
379,LowVVIQ,-0.014307413166913387,3,2,5,3,5,3,4,3,2,3
380,LowVVIQ,-1.7902812372640602,1,1,2,1,1,1,2,1,1,1
381,HighVVIQ,0.034551067133851025,3,4,5,3,2,2,2,3,3,2
382,HighVVIQ,0.1902303156924571,5,4,5,3,3,5,2,1,3,2
383,HighVVIQ,0.17472639698184156,2,5,4,4,5,5,5,3,3,2
384,LowVVIQ,-1.0550170426026815,1,1,3,1,3,1,3,2,1,1
385,HighVVIQ,0.476133278302629,4,5,5,4,4,5,5,2,5,1
386,HighVVIQ,1.3785701369592405,5,5,5,5,5,5,5,5,5,3
387,HighVVIQ,0.4562364031798125,3,5,5,3,5,5,5,2,5,3
388,LowVVIQ,-1.135588470374343,1,1,2,1,2,2,1,2,3,1
389,LowVVIQ,-0.43564546969190504,2,2,5,5,3,1,5,1,3,2
390,HighVVIQ,0.34610361955360675,1,3,5,5,5,2,3,1,4,2
391,LowVVIQ,-0.647045631318269,3,2,3,2,3,5,2,1,3,1
392,LowVVIQ,-2.157646335015277,1,2,2,1,1,1,2,1,1,1
393,HighVVIQ,0.884250820028209,5,5,5,5,5,5,5,1,5,4
394,LowVVIQ,-0.829477611624518,2,4,2,1,1,1,4,1,4,1
395,LowVVIQ,-0.5735602707682829,1,4,4,2,3,4,4,3,2,1
396,HighVVIQ,1.503900609004535,5,5,5,5,5,5,4,2,5,5
397,LowVVIQ,-0.774144929605405,5,3,4,1,3,4,1,1,1,2
398,HighVVIQ,0.8457315401892959,4,5,5,5,5,3,3,2,4,3
399,LowVVIQ,-1.2606828788187754,1,1,5,1,1,1,3,1,2,1
400,LowVVIQ,-0.3545424030739777,2,2,5,4,3,3,3,1,3,3
401,LowVVIQ,-0.07355601913647834,3,2,4,2,4,4,4,1,2,1
402,LowVVIQ,-1.1686514244243555,1,1,3,1,1,1,4,1,3,1
403,LowVVIQ,-0.6347482649089092,1,4,2,2,3,1,2,1,1,1
404,LowVVIQ,-0.028841552928314446,4,5,4,2,4,4,5,2,3,2
405,HighVVIQ,0.6706959687339302,5,5,5,5,5,4,4,3,4,5
406,LowVVIQ,-1.6505465434251092,1,1,1,1,3,2,3,1,1,1
407,LowVVIQ,-0.3497542392112684,2,5,5,1,1,1,3,3,2,1
408,HighVVIQ,0.7564064385454836,5,5,5,4,5,5,4,3,5,1
409,LowVVIQ,-0.5388091599775925,3,4,1,1,4,1,4,1,1,1
410,HighVVIQ,0.22729192167294204,2,4,4,5,4,4,5,1,5,3
411,HighVVIQ,0.4922285700644314,5,5,5,5,5,5,3,2,3,4
412,HighVVIQ,0.26783501533168314,5,5,5,3,3,5,4,1,5,4
413,HighVVIQ,0.6532576794713816,5,5,5,5,5,3,5,5,4,3
414,LowVVIQ,-0.12270866097738006,4,3,5,3,1,1,3,1,4,2
415,LowVVIQ,-0.41367651359212027,3,4,3,5,4,3,3,2,2,2
416,LowVVIQ,-2.6431489520289784,1,1,1,1,1,1,3,1,1,1
417,LowVVIQ,-0.09294101847947203,3,3,3,3,5,4,2,1,1,2
418,HighVVIQ,0.4302846963599871,3,3,5,3,1,3,5,3,3,2
419,HighVVIQ,0.5353988408681499,4,5,5,4,5,3,4,1,4,1
420,LowVVIQ,-0.5552783513132517,3,2,4,2,2,2,3,2,2,1
421,HighVVIQ,1.7795029097751494,5,5,5,5,5,5,5,3,5,5
422,HighVVIQ,0.2864244196288247,4,5,4,5,2,5,5,1,4,2
423,HighVVIQ,0.12631585845888565,4,5,5,4,5,3,5,2,5,2
424,HighVVIQ,1.272266779468519,5,5,5,5,5,5,5,4,4,3
425,LowVVIQ,-0.7184662213192593,4,3,2,3,3,4,4,1,2,2
426,LowVVIQ,-0.4503386239247119,1,1,3,1,3,5,2,1,3,1
427,HighVVIQ,2.397452480049763,5,5,5,5,5,5,5,5,5,5
428,LowVVIQ,0.011129187220887952,3,5,5,4,4,4,1,2,3,1
429,HighVVIQ,1.6335684214083066,5,5,5,5,5,5,5,5,5,2
430,LowVVIQ,-1.438506644914523,1,2,1,1,1,1,4,1,1,1
431,LowVVIQ,-0.19051680204290142,2,3,2,4,4,2,3,1,1,3
432,HighVVIQ,0.37842390363683187,3,2,5,5,4,5,4,5,5,2
433,HighVVIQ,0.30003854520579754,3,3,5,4,5,2,4,1,3,1
434,LowVVIQ,-1.0056362595108368,3,3,3,1,2,1,3,1,1,1
435,HighVVIQ,0.019259274625370804,3,4,3,2,3,3,4,2,4,2
436,LowVVIQ,-1.0774206531119819,1,1,1,2,3,1,1,1,2,2
437,HighVVIQ,0.7127033252442824,5,5,5,5,5,2,4,2,2,5
438,HighVVIQ,1.0847750898606459,5,5,5,5,5,5,5,1,5,5
439,LowVVIQ,-2.2249876964874127,1,1,1,1,1,1,2,1,1,1
440,HighVVIQ,1.2356934623001432,5,5,5,5,5,5,5,3,4,3
441,LowVVIQ,-1.241044496808491,1,1,3,3,1,1,1,2,1,1
442,HighVVIQ,0.45476926898263287,3,4,4,4,5,4,5,2,4,4
443,HighVVIQ,0.6599026381426083,5,5,5,5,5,4,5,4,5,4
444,LowVVIQ,-0.1998898281014332,4,5,3,2,4,3,2,1,1,3
445,LowVVIQ,-0.6451139568597918,3,1,4,3,3,3,3,2,1,1
446,HighVVIQ,0.16532102124205025,5,5,5,4,5,5,3,2,5,3
447,HighVVIQ,0.4388187007144536,4,5,4,5,5,3,4,3,5,4
448,HighVVIQ,0.8833028199487049,5,5,5,4,4,5,5,3,5,2
449,LowVVIQ,-2.0523369839019527,1,1,1,1,1,1,3,1,1,1
450,LowVVIQ,-1.6363792680590246,1,1,2,1,1,1,2,1,1,1
451,HighVVIQ,1.430402341188183,5,5,5,5,5,5,5,5,4,5
452,HighVVIQ,1.046628847111547,4,5,5,5,5,5,5,4,5,4
453,HighVVIQ,0.4352889489076821,5,5,4,4,4,3,5,2,4,1
454,HighVVIQ,0.7151784071110604,5,5,3,5,5,5,3,2,5,2
455,HighVVIQ,0.9171749176410033,5,5,5,4,4,5,5,1,5,4
456,LowVVIQ,-2.660922798465681,1,1,1,1,1,1,1,1,1,1
457,HighVVIQ,1.1102770966388196,5,5,5,5,5,4,5,3,4,5
458,LowVVIQ,-0.4849875965623248,1,3,5,3,3,3,4,2,2,1
459,HighVVIQ,0.23061683063120178,3,4,4,1,5,5,5,3,3,2
460,LowVVIQ,-0.29515780088357724,3,4,5,2,1,4,4,1,1,3
461,HighVVIQ,0.871964954078744,5,5,5,5,5,5,5,2,5,3
462,LowVVIQ,-0.3484724489556109,3,4,3,3,5,1,4,3,1,1
463,HighVVIQ,0.5185037658882478,4,4,5,5,4,5,3,1,3,4
464,LowVVIQ,-0.3906849786389791,2,2,4,2,3,3,2,1,3,3
465,LowVVIQ,-1.0927872091015058,1,3,2,1,4,2,2,1,2,1
466,HighVVIQ,1.2100105104402648,5,5,5,5,4,5,5,3,5,4
467,HighVVIQ,0.7409000112742742,5,5,5,5,4,5,4,1,5,3
468,HighVVIQ,1.7242622391564528,5,5,4,5,5,5,5,3,5,5
469,HighVVIQ,0.0651539325793032,1,5,4,5,5,5,5,5,2,2
470,HighVVIQ,1.1250027458281737,5,5,5,5,5,4,4,3,5,5
471,HighVVIQ,1.9754190540190784,5,5,5,5,5,5,5,4,5,5
472,LowVVIQ,-0.28148211503896653,2,2,5,3,3,2,3,2,1,1
473,LowVVIQ,-1.3229511127552154,1,1,3,1,1,4,2,1,1,1
474,LowVVIQ,-0.2393515671381162,2,2,5,5,5,2,3,2,2,2
475,LowVVIQ,-0.2140412399853833,1,4,5,2,4,4,3,2,3,1
476,HighVVIQ,0.15168050450931972,5,5,3,3,2,4,3,2,2,3
477,HighVVIQ,1.7123049773192824,4,5,5,5,5,5,5,4,5,5
478,LowVVIQ,-0.32614389250534814,3,2,5,1,4,3,5,1,4,1
479,HighVVIQ,0.37300465580491543,5,5,5,3,5,4,5,3,4,3
480,LowVVIQ,-0.22768406489553114,2,3,5,3,2,4,5,1,1,1
481,HighVVIQ,0.020450708525032547,4,5,5,4,4,4,2,1,5,1
482,HighVVIQ,0.31405766350626224,5,4,5,5,4,2,3,3,3,3
483,HighVVIQ,1.3282146960369865,5,5,5,5,5,5,5,5,5,4
484,HighVVIQ,0.12131837749077803,4,4,4,5,2,3,5,1,3,1
485,HighVVIQ,0.7128423200311134,5,5,5,4,5,5,5,1,3,3
486,HighVVIQ,0.7788600297835346,5,5,5,3,5,5,5,3,5,4
487,HighVVIQ,0.9147732708556343,5,5,5,3,4,5,5,3,5,3
488,LowVVIQ,-0.5743945521843834,1,1,4,4,1,1,1,2,1,3
489,HighVVIQ,1.626881214194677,5,5,5,5,5,5,5,4,5,5
490,LowVVIQ,-0.38095673929401297,3,5,3,2,4,1,2,1,3,1
491,LowVVIQ,-0.10578416764975175,3,2,5,3,4,3,2,4,1,3
492,HighVVIQ,1.4040502677141713,5,5,5,5,5,5,5,3,5,5
493,HighVVIQ,1.2940839061455802,5,5,5,5,5,5,5,4,4,3
494,LowVVIQ,-1.089991872411238,1,3,2,1,1,1,2,1,1,2
495,LowVVIQ,-0.8730710004174634,1,3,1,1,4,1,3,1,1,2
496,LowVVIQ,-1.3580790593706142,1,1,2,2,1,1,1,2,1,1
497,HighVVIQ,0.18184719261983215,5,5,5,4,4,4,4,1,5,3
498,HighVVIQ,0.16484086791846608,5,3,5,3,4,5,4,1,3,1
499,HighVVIQ,0.3641146873550629,3,5,4,5,5,3,4,4,4,5
500,HighVVIQ,0.5521577142185579,5,5,4,2,2,5,3,1,4,2
501,LowVVIQ,-0.6018928459850164,3,2,4,1,4,1,3,2,1,1
502,LowVVIQ,-0.9936985910987144,1,1,4,2,3,1,3,1,2,1
503,HighVVIQ,1.0267850560749041,5,5,5,5,5,5,4,4,4,4
504,HighVVIQ,0.7510613026063233,5,5,5,3,5,5,4,4,5,5
505,LowVVIQ,-1.509166537328701,1,1,1,2,1,1,1,1,3,1
506,LowVVIQ,-0.09514745084928676,2,4,3,5,2,3,3,1,3,1
507,LowVVIQ,-0.8959478227564988,1,2,1,1,3,1,3,2,2,1
508,LowVVIQ,-2.070751070541964,1,1,2,1,1,1,1,1,1,1
509,HighVVIQ,0.15012013118814335,3,3,5,5,5,4,3,1,5,5
510,LowVVIQ,-0.07921170925858824,2,4,5,4,3,1,2,1,1,1
511,LowVVIQ,-0.09736926751308099,5,1,3,3,1,3,5,1,2,3
512,HighVVIQ,0.21615254180123264,4,3,5,3,4,3,5,2,4,3
513,HighVVIQ,0.8824651643965872,5,5,5,5,3,5,4,3,5,5
514,HighVVIQ,0.20559750448338662,4,3,5,1,3,5,5,5,2,1
515,LowVVIQ,-0.6164358428735284,1,3,4,1,4,5,5,2,1,1
516,LowVVIQ,-0.7347992519212811,2,4,5,3,5,3,3,1,1,1
517,LowVVIQ,-0.13180279304118106,3,2,5,1,3,3,3,1,5,1
518,HighVVIQ,0.31001698657895177,5,5,5,3,5,5,5,1,5,1
519,LowVVIQ,-1.0396803527020415,1,3,1,1,1,3,1,1,2,1
520,LowVVIQ,-0.18430886884238382,2,2,3,3,5,3,3,1,1,4
521,HighVVIQ,0.9672672601679138,5,5,5,3,5,5,4,3,5,3
522,LowVVIQ,-0.10828009123448613,2,5,5,4,3,4,2,1,2,3
523,LowVVIQ,-0.6984206675943903,3,2,3,1,3,2,4,1,2,1
524,LowVVIQ,-0.27594516842553973,5,3,4,3,2,3,3,3,3,1
525,HighVVIQ,1.1146485453619799,5,5,5,5,5,5,5,3,5,5
526,HighVVIQ,0.550043961214136,4,5,5,5,5,5,1,3,4,4
527,HighVVIQ,1.2366758000816054,5,5,5,5,5,5,5,3,5,3
528,HighVVIQ,0.1390978571617711,4,4,3,3,3,3,3,4,4,3
529,HighVVIQ,0.41027509649042515,4,5,5,5,4,5,4,2,5,3
530,LowVVIQ,-0.5584569123481329,2,4,4,3,3,2,2,2,3,1
531,HighVVIQ,0.6053706689303329,4,4,5,5,5,5,5,3,5,2
532,LowVVIQ,-0.5063335421892394,1,1,3,3,5,3,5,2,2,1
533,LowVVIQ,-1.4205655046957444,2,1,2,1,3,1,3,1,1,1
534,HighVVIQ,0.12799296568412577,3,5,3,5,5,3,3,3,3,2
535,HighVVIQ,1.9458512177314353,5,5,5,5,5,5,5,4,5,5
536,HighVVIQ,0.8009143395730616,5,5,3,5,5,4,4,5,5,3
537,HighVVIQ,1.1652533899462603,5,5,5,5,5,5,5,3,5,5
538,HighVVIQ,0.3588557230931522,5,5,5,3,4,3,4,2,5,2
539,LowVVIQ,-0.6085571783162245,2,1,2,4,2,2,3,1,2,1
540,LowVVIQ,-0.20224085511028375,5,4,5,2,2,4,4,2,1,3
541,LowVVIQ,-0.27324810681192524,3,5,5,5,3,2,2,2,2,3
542,LowVVIQ,-0.4686997797820871,2,3,5,2,3,3,5,2,3,1
543,HighVVIQ,0.7041672839297158,5,5,5,4,3,5,5,4,4,3
544,LowVVIQ,-1.1973635023654117,1,1,2,2,1,1,3,1,1,1
545,HighVVIQ,0.8663661321127734,4,5,5,5,5,5,5,4,4,4
546,HighVVIQ,0.8641524862258932,5,5,5,5,4,5,3,1,5,4
547,LowVVIQ,-1.1986223590687484,1,1,3,1,1,1,4,1,1,1
548,HighVVIQ,0.6394919979005336,5,5,5,5,5,3,5,4,4,3
549,HighVVIQ,2.4302266523445084,5,5,5,5,5,5,5,3,5,5
550,LowVVIQ,-0.5572154819416083,1,5,2,1,3,1,3,1,4,2
551,HighVVIQ,0.8449042414080717,3,4,5,4,5,5,4,2,5,3
552,LowVVIQ,-0.7822018456194033,2,2,5,1,1,1,2,1,2,1
553,HighVVIQ,1.1107114182028008,5,5,5,5,5,5,5,3,5,4
554,HighVVIQ,0.2498247199265625,2,5,5,4,5,5,5,4,3,2
555,HighVVIQ,1.6519153916231646,5,5,5,5,5,5,5,2,5,5
556,LowVVIQ,-1.4589707285369156,1,1,1,3,1,1,2,1,1,1
557,LowVVIQ,-0.051297886125361236,5,4,3,3,2,2,3,1,4,3
558,LowVVIQ,-0.5269251761255977,1,5,3,5,4,2,5,1,1,1
559,LowVVIQ,-0.1972648690762991,3,4,5,1,4,4,2,2,3,1
560,LowVVIQ,-0.629578742686005,2,1,4,4,5,3,3,1,3,1
561,LowVVIQ,-0.8338435805350006,2,4,4,2,5,3,4,1,3,2
562,HighVVIQ,0.5787223746164499,4,5,5,4,4,5,3,5,4,1
563,LowVVIQ,-1.0875807140769271,1,1,5,1,1,1,1,1,1,1
564,HighVVIQ,1.4840309315562832,4,5,5,5,5,5,5,2,5,3
565,LowVVIQ,-1.1862065853137507,1,1,1,3,4,1,5,1,1,1
566,HighVVIQ,0.10107915139527966,4,4,3,1,3,4,3,2,4,3
567,HighVVIQ,0.5329892868264807,4,5,3,5,4,4,4,2,2,3
568,HighVVIQ,0.5867353390926253,5,5,2,5,5,5,3,4,4,4
569,LowVVIQ,-0.3017466638663803,2,2,5,2,5,4,5,1,4,2
570,HighVVIQ,0.07950199532840103,4,4,4,3,4,4,3,2,4,3
571,HighVVIQ,0.9612641518096774,5,5,5,5,4,5,4,1,5,5
572,LowVVIQ,-1.4564659170764258,1,1,3,1,1,1,1,1,1,1
573,LowVVIQ,-0.7817397115320819,1,3,2,3,4,1,2,1,1,1
574,HighVVIQ,0.3204023143166103,5,3,5,4,5,4,3,1,4,2
575,LowVVIQ,-0.4447819783369915,1,3,4,3,3,2,4,1,3,1
576,HighVVIQ,1.3700039939710003,5,5,5,5,5,5,5,2,5,5
577,HighVVIQ,0.6732538633548357,5,4,5,2,5,5,5,4,3,2
578,HighVVIQ,0.07216675241475584,5,5,5,3,4,5,3,3,3,1
579,LowVVIQ,-1.50775731753668,1,1,3,1,1,1,3,1,1,1
580,HighVVIQ,0.026100225326241802,2,4,4,2,5,3,1,4,5,1
581,LowVVIQ,-0.3164158681969931,3,3,2,4,5,5,5,1,4,1
582,LowVVIQ,-0.10234651352059783,2,4,5,3,4,3,4,3,1,2
583,LowVVIQ,-1.1815592270556854,2,1,4,1,3,1,2,1,1,1
584,HighVVIQ,0.49865804382992457,3,5,5,5,5,5,5,4,4,1
585,LowVVIQ,-1.038956440307033,1,1,4,2,3,1,1,1,2,2
586,LowVVIQ,-0.22622198144240974,4,2,3,3,3,4,3,1,2,1
587,HighVVIQ,0.3814258294513523,3,4,4,4,5,3,4,3,5,4
588,LowVVIQ,-0.783515789013048,3,2,2,1,3,3,1,3,1,1
589,HighVVIQ,0.5829914056800642,4,5,5,4,4,2,4,2,4,4
590,LowVVIQ,-1.3165104016516926,1,3,3,4,2,1,2,1,1,1
591,LowVVIQ,-2.8097746789605416,1,1,1,1,1,1,1,1,1,1
592,HighVVIQ,0.4649679907858525,3,5,3,5,5,4,3,2,4,1
593,HighVVIQ,0.8405398269609996,5,5,4,5,2,5,5,3,5,4
594,LowVVIQ,-0.2858454235913839,2,3,4,4,5,3,2,2,2,1
595,HighVVIQ,0.5041262545916082,5,3,5,4,4,5,3,4,3,4
596,LowVVIQ,-1.1559165250836716,1,2,1,3,1,2,2,1,1,1
597,LowVVIQ,-0.1271486068256622,2,3,3,2,5,3,5,1,2,1
598,LowVVIQ,-1.9415183760406178,1,1,1,1,1,1,2,1,1,1
599,HighVVIQ,1.1811808914385218,4,5,5,5,5,5,5,1,5,4
600,HighVVIQ,1.859910861543161,5,5,5,5,5,5,5,5,5,5
